Region,City,district,latitude,longitude
Tabouk Area,Tabouk,Al Safa Dist.,28.3758923,36.512862
Tabouk Area,Tabouk,Al Akhdar Dist.,28.3610195,36.5108759
Tabouk Area,Tabouk,Al Bawadi Dist.,28.3617199,36.5249849
Tabouk Area,Tabouk,Al Yarmuk Dist.,28.3525576,36.5131249
Tabouk Area,Tabouk,Southern Districts,28.3732691,36.5440499
Tabouk Area,Tabouk,Al Nadheem Dist.,28.3767489,36.5397103
Tabouk Area,Tabouk,Khalidiyah West Dist.,28.3765591,36.5613312
Tabouk Area,Tabouk,Al Basatin Dist.,28.3682702,36.5580375
Tabouk Area,Tabouk,Al Hamra Dist.,28.3643297,36.5712582
Tabouk Area,Tabouk,Down Town,28.3835079,36.5661908
Tabouk Area,Tabouk,Al Saadah Dist.,28.3877946,36.5486041
Tabouk Area,Tabouk,Sultanah Dist.,28.3956639,36.5887183
Tabouk Area,Tabouk,Faisaliyah South Dist.,28.3933317,36.580148
Tabouk Area,Tabouk,Faisaliyah North Dist.,28.4032988,36.5526378
Tabouk Area,Tabouk,Al Nahdah Dist.,28.3902849,36.5429306
Tabouk Area,Tabouk,Al Rawdah Dist.,28.4119696,36.5180957
Tabouk Area,Tabouk,Al Masif 1 Dist.,28.4362329,36.5420227
Tabouk Area,Tabouk,Al Muruj 2 Dist.,28.4207691,36.5816724
Tabouk Area,Tabouk,Al Rayan Dist.,28.4582661,36.5552447
Tabouk Area,Tabouk,Al Wurud Dist.,28.4132894,36.5787805
Tabouk Area,Tabouk,Al Rajhi Subdivision Plan,28.4159808,36.5323284
Tabouk Area,Tabouk,University City,28.3835079,36.5661908
Tabouk Area,Tabouk,Al Falah Dist.,28.413887,36.5775617
Tabouk Area,Tabouk,Al Zahra Dist.,28.3582569,36.5528764
Tabouk Area,Tabouk,Rise Dist.,28.3347837,36.532422
Tabouk Area,Tabouk,Government Departments Area F,28.3835079,36.5661908
Tabouk Area,Tabouk,Government Departments Area B,28.3835079,36.5661908
Tabouk Area,Tabouk,Government Departments Area D,28.3835079,36.5661908
Tabouk Area,Tabouk,Government Departments Area A,28.3835079,36.5661908
Tabouk Area,Tabouk,Al Jamiah Dist.,28.4721334,36.4698055
Tabouk Area,Tabouk,Government Departments Area C,28.3835079,36.5661908
Tabouk Area,Tabouk,Government Departments Area E,28.4000524,36.5781116
Tabouk Area,Tabouk,Private Area,28.3835079,36.5661908
Tabouk Area,Tabouk,Al Difa Dist.,28.4423264,36.4640364
Tabouk Area,Tabouk,Al Nada Dist.,28.4443728,36.5647507
Tabouk Area,Tabouk,Al Hejin Dist.,28.4721334,36.4698055
